Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1
10000000000.0,1.0,1.0,1.0,20000.0,20.0,480.0,0.023486119740546176,1,1.2948900880200989
,,,,,,,0.00041174033166663574,2,1.2911704886210267
,,,,,,,0.002594528117351402,3,1.2467463001492098
,,,,,,,0.04944268147109216,4,1.20515184275663
,,,,,,,0.00016356807696345802,5,1.195287857997547
,,,,,,,0.003085232348241777,6,1.1746803182444765
,,,,,,,0.007123671765684395,7,1.1649480758958188
,,,,,,,0.0016074793770546735,8,1.1529790541964868
,,,,,,,0.00019176946954336453,9,1.1155346107834767
,,,,,,,0.041044306760796,10,1.0984283116815725
,,,,,,,0.0010603723610044865,11,1.0844043012323858
,,,,,,,0.013937128212989819,12,1.0591905940506383
,,,,,,,0.06442890148805451,13,1.0520758997137576
,,,,,,,0.0002650930902511216,14,1.0523848534652183
,,,,,,,0.004799877017100096,15,1.0363241147482378
,,,,,,,0.0006937542574657013,16,1.0284868043592286
,,,,,,,0.07797685048344162,17,1.0286830788325267
,,,,,,,0.01067704723075262,18,0.0
,,,,,,,479.69568,19,0.0
,,,,,,,0.0013298784,20,0.0
,,,,,,,,21,0.0
,,,,,,,,22,0.0
,,,,,,,,23,0.0
,,,,,,,,24,0.0
,,,,,,,,25,0.0
,,,,,,,,26,0.0
,,,,,,,,27,0.0
,,,,,,,,28,0.0
,,,,,,,,29,0.0
,,,,,,,,30,0.0
,,,,,,,,31,0.0
,,,,,,,,32,0.0
,,,,,,,,33,0.0
,,,,,,,,34,0.0
,,,,,,,,35,0.0
,,,,,,,,36,0.0
,,,,,,,,37,0.0
,,,,,,,,38,0.0
,,,,,,,,39,0.0
,,,,,,,,40,0.0
,,,,,,,,41,0.0
,,,,,,,,42,0.0
,,,,,,,,43,0.0
,,,,,,,,44,0.0
,,,,,,,,45,0.0
,,,,,,,,46,0.0
,,,,,,,,47,0.0
,,,,,,,,48,0.0
,,,,,,,,49,0.0
,,,,,,,,50,0.0
,,,,,,,,51,0.0
,,,,,,,,52,0.0
,,,,,,,,53,0.0
,,,,,,,,54,0.0
,,,,,,,,55,0.0
,,,,,,,,56,0.0
,,,,,,,,57,0.0
,,,,,,,,58,0.0
,,,,,,,,59,0.0
,,,,,,,,60,0.0
,,,,,,,,61,0.0
,,,,,,,,62,0.0
,,,,,,,,63,0.0
,,,,,,,,64,0.0
,,,,,,,,65,0.0
,,,,,,,,66,0.0
,,,,,,,,67,0.0
,,,,,,,,68,0.0
,,,,,,,,69,0.0
,,,,,,,,70,0.0
,,,,,,,,71,0.0
,,,,,,,,72,0.0
,,,,,,,,73,0.0
,,,,,,,,74,0.0
,,,,,,,,75,0.0
,,,,,,,,76,0.0
,,,,,,,,77,0.0
,,,,,,,,78,0.0
,,,,,,,,79,0.0
,,,,,,,,80,0.0
,,,,,,,,81,0.0
,,,,,,,,82,0.0
,,,,,,,,83,0.0
,,,,,,,,84,0.0
,,,,,,,,85,0.0
,,,,,,,,86,0.0
,,,,,,,,87,0.0
,,,,,,,,88,0.0
,,,,,,,,89,0.0
,,,,,,,,90,0.0
,,,,,,,,91,0.0
,,,,,,,,92,0.0
,,,,,,,,93,0.0
,,,,,,,,94,0.0
,,,,,,,,95,0.0
,,,,,,,,96,0.0
,,,,,,,,97,0.0
,,,,,,,,98,0.0
,,,,,,,,99,0.0
,,,,,,,,100,0.0
,,,,,,,,101,0.0
,,,,,,,,102,0.0
,,,,,,,,103,0.0
,,,,,,,,104,0.0
,,,,,,,,105,0.0
,,,,,,,,106,0.0
,,,,,,,,107,0.0
,,,,,,,,108,0.0
,,,,,,,,109,0.0
,,,,,,,,110,0.0
,,,,,,,,111,0.0
,,,,,,,,112,0.0
,,,,,,,,113,0.0
,,,,,,,,114,0.0
,,,,,,,,115,0.0
,,,,,,,,116,0.0
,,,,,,,,117,0.0
,,,,,,,,118,0.0
,,,,,,,,119,0.0
,,,,,,,,120,0.0
,,,,,,,,121,0.0
,,,,,,,,122,0.0
,,,,,,,,123,0.0
,,,,,,,,124,0.0
,,,,,,,,125,0.0
,,,,,,,,126,0.0
,,,,,,,,127,0.0
,,,,,,,,128,0.0
,,,,,,,,129,0.0
,,,,,,,,130,0.0
,,,,,,,,131,0.0
,,,,,,,,132,0.0
,,,,,,,,133,0.0
,,,,,,,,134,0.0
